  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    1.6680    12.2535      7.0000e-06           7.5799e+03      2.3632e-04
    1.6890    12.0860      4.0000e-06           7.8695e+03      1.3881e-04
    1.7099    11.9319      4.0000e-06           8.1482e+03      1.4242e-04
    1.7309    11.7902      2.0000e-05           8.3872e+03      7.2932e-04
    1.7519    11.6597      9.0000e-06           8.5723e+03      3.3558e-04
    1.7728    11.5388      6.2000e-05           8.6868e+03      2.3605e-03
    1.7938    11.4260      3.1000e-05           8.7288e+03      1.2037e-03
    1.8148    11.3200      1.2300e-04           8.6990e+03      4.8657e-03
    1.8357    11.2201      6.3000e-05           8.6017e+03      2.5367e-03
    1.8567    11.1260      1.7200e-04           8.4379e+03      7.0434e-03
    1.8777    11.0380      2.6100e-04           8.2136e+03      1.0859e-02
    1.8986    10.9569      3.0900e-04           7.9286e+03      1.3047e-02
    1.9196    10.8843      4.5500e-04           7.5769e+03      1.9469e-02
    1.9405    10.8231      3.0600e-04           7.1637e+03      1.3242e-02
    1.9615    10.7768      2.4800e-04           6.6996e+03      1.0824e-02
    1.9825    10.7494      1.7900e-04           6.2189e+03      7.8526e-03
    2.0034    10.7445      1.3200e-04           5.7604e+03      5.7960e-03
    2.0244    10.7643      7.7000e-05           5.3586e+03      3.3686e-03
    2.0454    10.8089      1.0900e-04           5.0302e+03      4.7293e-03
    2.0663    10.8771      4.5000e-05           4.7685e+03      1.9280e-03
    2.0873    10.7042      2.5000e-05           4.7077e+03      1.1060e-03
    2.1083    10.3957      3.7000e-05           4.7539e+03      1.7355e-03
    2.1292    10.1001      3.7000e-05           4.8068e+03      1.8386e-03
    2.1502     9.8185      5.1000e-05           4.8600e+03      2.6817e-03
    2.1712     9.5525      5.2000e-05           4.9159e+03      2.8887e-03
    2.1921     9.3035      9.5000e-05           4.9680e+03      5.5637e-03
    2.2131     9.0726      9.2000e-05           5.0217e+03      5.6657e-03
    2.2341     8.8615      1.5600e-04           5.0733e+03      1.0070e-02
    2.2550     8.6713      1.7900e-04           5.1260e+03      1.2067e-02
    2.2760     8.5034      2.2200e-04           5.1742e+03      1.5563e-02
    2.2970     8.3589      2.8300e-04           5.2178e+03      2.0531e-02
    2.3179     8.2391      2.3200e-04           5.2557e+03      1.7324e-02
    2.3389     8.1448      1.7300e-04           5.2853e+03      1.3220e-02
    2.3598     8.0768      2.5200e-04           5.3299e+03      1.9582e-02
    2.3808     8.0358      2.4400e-04           5.3272e+03      1.9154e-02
    2.4018     8.0221      9.2000e-05           5.3298e+03      7.2467e-03
    2.4153     8.0180      2.8500e-04           5.3204e+03      2.2472e-02
    2.4289     8.0052      2.7700e-04           5.2893e+03      2.1911e-02
    2.4424     7.9835      2.4400e-04           5.2416e+03      1.9406e-02
    2.4560     7.9527      2.5600e-04           5.1770e+03      2.0518e-02
    2.4695     7.9121      2.2000e-04           5.0976e+03      1.7814e-02
    2.4830     7.8612      2.6700e-04           5.0056e+03      2.1901e-02
    2.4966     7.7994      3.1400e-04           4.9038e+03      2.6166e-02
    2.5101     7.7259      3.6700e-04           4.7951e+03      3.1167e-02
    2.5237     7.6400      3.3900e-04           4.6827e+03      2.9440e-02
    2.5372     7.5410      3.4000e-04           4.5695e+03      3.0308e-02
